Key pressed,Correct?,y-value,Red,Green,Left Blue,Right Blue,Percent Different,time
f,incorrect,0,-0.650,-0.650,0.475,0.500,5.000,0.669
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,0.628
f,correct,1,-0.650,-0.650,0.500,0.494,1.250,0.713
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.991
j,incorrect,0,-0.650,-0.650,0.500,0.487,2.500,0.908
f,incorrect,0,-0.650,-0.650,0.400,0.500,20.000,1.118
f,incorrect,0,-0.650,-0.650,0.500,0.525,5.000,1.465
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,1.044
f,incorrect,0,-0.650,-0.650,0.475,0.500,5.000,1.386
f,incorrect,0,-0.650,-0.650,0.475,0.500,5.000,0.971
f,incorrect,0,-0.650,-0.650,0.494,0.500,1.250,1.223
j,incorrect,0,-0.650,-0.650,0.500,0.475,5.000,0.857
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,1.191
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,1.271
j,incorrect,0,-0.650,-0.650,0.500,0.494,1.250,1.154
f,correct,1,-0.650,-0.650,0.512,0.500,2.500,1.354
j,correct,1,-0.650,-0.650,0.500,0.550,10.000,1.038
j,incorrect,0,-0.650,-0.650,0.500,0.494,1.250,1.254
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,1.370
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,0.974
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,1.058
f,incorrect,0,-0.650,-0.650,0.450,0.500,10.000,1.303
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,0.661
j,incorrect,0,-0.650,-0.650,0.512,0.500,2.500,1.321
f,correct,1,-0.650,-0.650,0.550,0.500,10.000,1.399
j,correct,1,-0.650,-0.650,0.500,0.550,10.000,1.126
j,incorrect,0,-0.650,-0.650,0.500,0.400,20.000,1.204
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,1.367
f,correct,1,-0.650,-0.650,0.512,0.500,2.500,1.273
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,1.452
f,correct,1,-0.650,-0.650,0.500,0.450,10.000,1.154
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,1.272
f,correct,1,-0.650,-0.650,0.500,0.494,1.250,1.338
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,0.905
j,correct,1,-0.650,-0.650,0.500,0.600,20.000,0.909
j,correct,1,-0.650,-0.650,0.500,0.600,20.000,0.748
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,1.107
f,incorrect,0,-0.650,-0.650,0.500,0.525,5.000,0.909
j,correct,1,-0.650,-0.650,0.500,0.600,20.000,1.206
f,correct,1,-0.650,-0.650,0.500,0.450,10.000,1.005
f,correct,1,-0.650,-0.650,0.550,0.500,10.000,0.877
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,0.878
f,correct,1,-0.650,-0.650,0.550,0.500,10.000,0.810
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,1.139
f,incorrect,0,-0.650,-0.650,0.450,0.500,10.000,1.545
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,1.188
f,correct,1,-0.650,-0.650,0.512,0.500,2.500,1.517
0.0,timeout,0,-0.650,-0.650,0.500,0.506,1.250,2.005
f,incorrect,0,-0.650,-0.650,0.500,0.506,1.250,1.877
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.911
